actual_price,predicted_price
10800000.0,4793599.046091419
2911000.0,3609167.3729823306
6499999.999999999,7000300.179264886
2000000.0000000016,1961223.1234104005
6999999.999999995,6107710.238649431
4500000.000000002,4204042.792976709
9.000000000000002,8.999999999999936
4500000.000000002,5268684.062065612
1800000.000000001,4230143.463526284
2000000.0000000016,2529703.767674987
9.000000000000002,11.03659622283215
6999999.999999995,8058364.604986702
2800000.000000002,12741899.281463906
7894000.000000003,9909583.687190942
2400000.000000001,3714656.571441955
4589999.999999998,5591710.353451627
1299999.9999999993,1761993.0979861307
4000000.0000000005,4546465.371648175
5500000.000000001,7987177.588949278
65000000.00000007,52392646.158513024
20000000.000000015,23116177.888809253
46500000.00000003,26532494.779647455
3799999.9999999995,3599326.9719954855
1099999.9999999998,1038182.146194844
2599999.9999999986,2570813.9114230587
20000000.000000015,10474658.868779892
3700000.000000002,2459950.940294411
8999999.999999996,9305.608539001463
5500000.000000001,6063167.1044772575
2119999.9999999986,4023878.09179598
9.000000000000002,8.999999999999936
13499999.999999993,8496211.156735493
6800000.0,8883946.020625066
17499999.999999985,21123595.50736056
2100000.000000001,2401989.0559214223
3200000.0000000023,3692047.1166627095
26499999.999999996,4096708.8680381523
4500000.000000002,4351980.260159936
9200000.000000004,7784204.16042365
5800000.0,6916635.65385675
9999999.999999996,6691253.758466609
60000000.0000001,9547391.755888604
2199999.9999999995,3414079.851910801
7199999.9999999935,6963133.042183233
7498999.999999996,11506848.524434125
3499999.9999999995,4337353.089387092
5500000.000000001,3083284.1166830934
6300000.000000002,6544050.795741703
7100000.000000005,8368696.167559678
7199999.9999999935,7978542.491586437
5500000.000000001,6295656.5206833985
9999999.999999996,13882682.744081268
15000000.00000001,7138173.240524424
1699999.9999999988,1734102.1549773065
8400000.000000006,8412532.326675316
30000000.00000005,34774376.08515541
3900000.000000001,2739502.297703074
6000000.0,5661629.238219602
22999999.999999974,1710558.1391622517
6200000.000000005,6685290.118847781
2499999.9999999995,2158503.189781974
15499999.999999987,15915088.085227929
9900000.000000013,12028150.602106964
5500000.000000001,8017128.07334502
700000.0000000006,866959.5104357523
2400000.000000001,2279270.10161855
60000000.0000001,58151005.42264158
13000000.000000013,16091912.479404977
3499999.9999999995,6561792.607959608
5500000.000000001,5969392.141852308
8918000.000000007,9038291.933954718
4799999.999999999,5314226.465997954
8499999.999999998,12126213.859016262
15900000.000000022,8623020.717946596
13499999.999999993,11109783.872986542
3900000.000000001,3767335.4621746857
4500000.000000002,1664841.151750516
3449999.999999999,3108334.4826290747
6200000.000000005,6558383.216747189
4999999.999999999,8026839.956378728
8400000.000000006,10509664.1732302
2887499.9999999986,3187890.7922725277
9477000.000000006,7879322.4649687195
15000000.00000001,17895641.184871558
8199999.999999994,7093103.756338482
4960000.000000002,6292093.808797131
4500000.000000002,3631401.584301891
4999999.999999999,4246367.936619043
4000000.0000000005,4100875.6992805335
15499999.999999987,17802732.269095596
4698999.999999997,6484458.151076983
8000000.000000002,7244727.972426244
3299999.9999999986,3405246.826716804
2700000.0,5750517.157519771
24999999.999999963,7859255.01612892
7599999.999999995,7571956.1035393635
30999999.999999978,11735468.01062912
4300000.000000002,2335092.7349666245
13499999.999999993,12386265.144401398
4000000.0000000005,3642820.457127255
6589999.999999998,7157969.20267485
5420781.0,6235420.929997144
999999.9999999997,6164588.699856285
2300000.0,5430171.213751161
6499999.999999999,4760106.978686819
9800000.000000007,8124777.0545487385
7428999.999999995,11738242.658062125
3700000.000000002,7990083.976139897
9.000000000000002,147460.2445515057
30000000.00000005,21512078.836487252
3824999.999999998,4035199.037494256
5869999.999999997,6822119.0661956435
3799999.9999999995,3029084.691600389
8000000.000000002,9212667.632017858
7644999.999999995,8554481.631533349
2700000.0,3340441.2847179645
7500000.000000002,7378598.606949432
6599999.999999998,7786631.916642659
15100000.000000026,25261247.296583857
8999999.999999996,16153042.4051839
6000000.0,6835985.953477554
10970000.000000002,6654278.127256919
7100000.000000005,8871873.837756366
14499999.99999999,7714254.684787676
6000000.0,5550225.6637220895
6999999.999999995,16577979.970653448
5919999.999999999,6878942.361056085
15000000.00000001,10590061.415301425
3950000.0000000005,6086731.374420985
8899999.999999996,6022554.961269935
